,entity,meaning
10629,wharf," moor at a wharf; ""The ship was wharfed"""
10630,wharf," provide with a wharf; ""Wharf the mouth of the river"""
10631,wharf," come into or dock at a wharf; ""the big ship wharfed in the evening"""
10632,wharf," discharge at a wharf; ""wharf the passengers"""
10633,confederate, form a confederation with; of nations
10634,confederate, a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
10635,confederate," form a group or unite; ""The groups banded together"""
10636,confederate, a supporter of the Confederate States of America
10637,insert, (broadcasting) a local announcement inserted into a network program
10638,insert, (film) a still picture that is introduced and that interrupts the action of a film
10639,ally," become an ally or associate, as by a treaty or marriage; ""He allied himself with the Communists"""
10640,ally, a friendly nation
10641,ordain," order by virtue of superior authority; decree; ""The King ordained the persecution and expulsion of the Jews""; ""the legislature enacted this law in 1985"""
10642,ordain," invest with ministerial or priestly authority; ""The minister was ordained only last month"""
10643,ordain, issue an order
10644,close," finish or terminate (meetings, speeches, etc.); ""The meeting was closed with a charge by the chairman of the board"""
10645,close," draw near; ""The probe closed with the space station"""
10646,close," bar access to; ""Due to the accident, the road had to be closed for several hours"""
10647,close, cause a window or an application to disappear on a computer desktop
10648,mourning, state of sorrow over the death or departure of a loved one
10649,mourning, the passionate and demonstrative activity of expressing grief
10650,restrain," keep under control; keep in check; ""suppress a smile""; ""Keep your temper""; ""keep your cool"""
10651,restrain, to compel or deter by or as if by threats
10652,restrain," to close within bounds, limit or hold back from movement; ""This holds the local until the express passengers change trains""; ""About a dozen animals were held inside the stockade""; ""The illegal immigrants were held at a detention center""; ""The terrorists held the journalists for ransom"""
10653,restrain, hold back
10654,bail, release after a security has been paid
10655,bail, deliver something in trust to somebody for a special purpose and for a limited period
10656,farm," be a farmer; work as a farmer; ""My son is farming in California"""
10657,farm," workplace consisting of farm buildings and cultivated land as a unit; ""it takes several people to work the farm"""
10658,travail," work hard; ""She was digging away at her math homework""; ""Lexicographers drudge all day long"""
10659,travail," concluding state of pregnancy; from the onset of contractions to the birth of a child; ""she was in labor for six hours"""
10660,travail," use of physical or mental energy; hard work; ""he got an A for effort""; ""they managed only with great exertion"""
10661,recreate," engage in recreational activities rather than work; occupy oneself in a diversion; ""On weekends I play""; ""The students all recreate alike"""
10662,recreate, give encouragement to
10663,assist, act as an assistant in a subordinate or supportive function
10664,assist, (sports) the act of enabling another player to make a good play
10665,remove, remove from a position or an office
10666,remove," go away or leave; ""He absented himself"""
10667,remove," dispose of; ""Get rid of these old shoes!""; ""The company got rid of all the dead wood"""
10668,hunting, the work of finding and killing or capturing animals for food or pelts
10669,hunting, the pursuit and killing or capture of wild animals regarded as a sport
10670,task," assign a task to; ""I tasked him with looking after the children"""
10671,task," a specific piece of work required to be done as a duty or for a specific fee; ""estimates of the city's loss on that job ranged as high as a million dollars""; ""the job of repairing the engine took several hours""; ""the endless task of classifying the samples""; ""the farmer's morning chores"""
10672,socialize," take part in social activities; interact with others; ""He never socializes with his colleagues""; ""The old man hates to socialize"""
10673,socialize," train for a social environment; ""The children must be properly socialized"""
10674,socialize," prepare for social life; ""Children have to be socialized in school"""
10675,socialize," make conform to socialist ideas and philosophies; ""Health care should be socialized!"""
10676,vest," provide with power and authority; ""They vested the council with special rights"""
10677,vest, clothe formally; especially in ecclesiastical robes
10678,ascend," become king or queen; ""She ascended to the throne after the King's death"""
10679,ascend," slope upwards; ""The path ascended to the top of the hill"""
10680,enter," take on duties or office; ""accede to the throne"""
10681,enter, come on stage
10682,enter," set out on (an enterprise or subject of study); ""she embarked upon a new career"""
10683,pull out," remove oneself from an obligation; ""He bowed out when he heard how much work was involved"""
10684,pull out," move out or away; ""The troops pulled out after the cease-fire"""
10685,pension off," let go from employment with an attractive pension; ""The director was pensioned off when he got senile"""
10686,pension off, grant a pension to
10687,react," act against or in opposition to; ""She reacts negatively to everything I say"""
10688,react," undergo a chemical reaction; react with another substance under certain conditions; ""The hydrogen and the oxygen react"""
10689,combine," join for a common purpose or in a common action; ""These forces combined with others"""
10690,combine," add together from different sources; ""combine resources"""
